MAINCATEGORY,SUBCATEGORY,MAINCATEGORYEN,SUBCATEGORYEN,SPH,CYL,DIAMETER,PRICE,QRCODE
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-2.75,65,60.50,-01.75-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-3.00,65,60.50,-01.75-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-3.25,65,60.50,-01.75-03.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-3.50,65,60.50,-01.75-03.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-3.75,65,60.50,-01.75-03.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-4.00,65,60.50,-01.75-04.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,0.00,72,37.50,-02.00+00.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-0.25,72,37.50,-02.00-00.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-0.50,72,37.50,-02.00-00.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-0.75,72,37.50,-02.00-00.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-1.00,72,37.50,-02.00-01.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-1.25,72,37.50,-02.00-01.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-1.50,72,37.50,-02.00-01.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-1.75,72,37.50,-02.00-01.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-2.00,72,37.50,-02.00-02.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-2.25,65,60.50,-02.00-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-2.50,65,60.50,-02.00-02.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-2.75,65,60.50,-02.00-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-3.00,65,60.50,-02.00-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-3.25,65,60.50,-02.00-03.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-3.50,65,60.50,-02.00-03.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-3.75,65,60.50,-02.00-03.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.00,-4.00,65,60.50,-02.00-04.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,0.00,72,37.50,-02.25+00.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-2.25,-0.25,72,37.50,-02.25-00.25'
